idx,ppq,per_block_sample,per_block_exact_offset
453,4.728125,104255,127.156250000004
454,4.738541666666667,104485,356.8437500000105
455,4.748958333333333,104715,10.53125000001014
456,4.75,104738,33.50000000000883
457,4.760416666666667,104967,135.18750000000296
458,4.770833333333333,105197,108.87499999998465
459,4.78125,105427,338.5624999999912
460,4.791666666666667,105656,56.25000000000679
461,4.802083333333333,105886,93.93749999998491
462,4.821875,106322,274.3437500000136
463,4.832291666666667,106552,504.0312500000201
464,4.842708333333333,106782,29.718750000007343
465,4.853125,107011,3.406250000008626
466,4.863541666666667,107241,233.09375000001515
467,4.873958333333333,107471,462.7812500000021
468,4.875,107494,485.7500000000008
469,4.885416666666667,107723,11.437500000007583
470,4.895833333333333,107953,241.12499999999451
471,4.90625,108183,214.81249999999582
472,4.916666666666667,108413,444.50000000000233
473,4.927083333333333,108642,98.18750000000196
474,4.946875,109079,150.59374999999866
475,4.957291666666667,109308,380.2812500000052
476,4.967708333333333,109538,33.96875000000481
477,4.978125,109768,135.65624999999892
478,4.988541666666667,109997,109.3437500000198
479,4.998958333333333,110227,339.0312500000067
480,5.0,110250,362.00000000000546
481,5.010416666666667,110480,15.68750000000505
482,5.020833333333333,110709,117.37499999999916
483,5.03125,110939,91.06250000000044
484,5.041666666666667,111169,320.750000000007
485,5.052083333333333,111398,38.43750000000301
486,5.071875,111835,26.843750000003297
487,5.082291666666667,112065,256.53125000000983
488,5.092708333333333,112294,486.21874999999676
489,5.103125,112524,11.90625000000356
490,5.113541666666667,112754,241.5937500000101
491,5.123958333333333,112983,215.2812499999918
492,5.125,113006,238.24999999999048
493,5.135416666666667,113236,467.937499999997
494,5.145833333333333,113466,121.62499999999663
495,5.15625,113695,223.31249999999073
496,5.166666666666667,113925,197.0000000000116
497,5.177083333333333,114155,426.6874999999986
498,5.196875,114591,159.0937500000132
499,5.207291666666667,114821,132.78125000001447
500,5.217708333333333,115050,362.4687500000014
501,5.228125,115280,16.156250000001027
502,5.238541666666667,115510,117.84375000001472
503,5.248958333333333,115740,91.53124999999642
504,5.25,115762,114.49999999999511
505,5.260416666666667,115992,344.18750000000165
506,5.270833333333333,116222,61.874999999997684
507,5.28125,116452,99.56249999999538
508,5.291666666666667,116681,73.25000000001624
509,5.302083333333333,116911,302.9375000000032
510,5.321875,117347,35.34374999999823
511,5.332291666666667,117577,9.031250000019098
512,5.342708333333333,117807,238.71875000000605
513,5.353125,118036,468.40625000001256
514,5.363541666666667,118266,122.0937500000122
515,5.373958333333333,118496,223.7812500000063
516,5.375,118519,246.750000000005
517,5.385416666666667,118748,220.43750000000628
518,5.395833333333333,118978,450.12499999999324
519,5.40625,119208,103.81249999999285
520,5.416666666666667,119438,205.50000000000654
521,5.427083333333333,119667,179.18749999998823
522,5.446875,120104,39.593750000015284
523,5.457291666666667,120333,141.2812500000094
524,5.467708333333333,120563,114.96875000001067
525,5.478125,120793,344.6562500000172
526,5.488541666666667,121022,62.343750000013245
527,5.498958333333333,121252,100.03125000001094
528,5.5,121275,123.00000000000963
529,5.510416666666667,121505,96.68750000001091
530,5.520833333333333,121734,326.37499999999784
531,5.53125,121964,44.062499999993896
532,5.541666666666667,122194,81.75000000001118
533,5.552083333333333,122423,55.43749999999288
534,5.571875,122860,491.8437500000072
535,5.582291666666667,123090,17.531250000014033
536,5.592708333333333,123319,247.21875000000097
537,5.603125,123549,220.90625000000225
538,5.613541666666667,123779,450.5937500000088
539,5.623958333333333,124008,104.28125000000841
540,5.625,124031,127.2500000000071
541,5.635416666666667,124261,228.93750000000122
542,5.645833333333333,124491,202.6250000000025
543,5.65625,124720,432.31250000000904
544,5.666666666666667,124950,86.00000000000864
545,5.677083333333333,125180,187.68750000000276
546,5.696875,125616,368.0937500000119
547,5.707291666666667,125846,21.781250000011497
548,5.717708333333333,126075,123.46875000000561
549,5.728125,126305,97.15625000000689
550,5.738541666666667,126535,326.8437500000134
551,5.748958333333333,126765,44.53125000000946
552,5.75,126787,3.499999999992154
553,5.760416666666667,127017,105.18750000000585
554,5.770833333333333,127247,78.87499999998755
555,5.78125,127477,308.5624999999941
556,5.791666666666667,127706,26.2500000000097
557,5.802083333333333,127936,63.937499999987814
558,5.821875,128372,244.3437500000165
559,5.832291666666667,128602,474.031250000023
560,5.842708333333333,128832,127.71875000000308
561,5.853125,129061,229.40625000001677
562,5.863541666666667,129291,203.09375000001805
