idx,ppq,mixed_sample,exact_sample,role
10799,112.49895833333333,2480602,2480602.03125,secondary
10800,112.5,2480625,2480625.0,primary
10801,112.51041666666667,2480855,2480854.6875,secondary
10802,112.52083333333333,2481084,2481084.375,secondary
10803,112.53125,2481314,2481314.0625,secondary
10804,112.54166666666667,2481544,2481543.75,secondary
10805,112.55208333333333,2481773,2481773.4375,secondary
10806,112.571875,2482210,2482209.84375,secondary
10807,112.58229166666668,2482440,2482439.53125,secondary
10808,112.59270833333333,2482669,2482669.21875,secondary
10809,112.603125,2482899,2482898.90625,secondary
10810,112.61354166666668,2483129,2483128.59375,secondary
10811,112.62395833333333,2483358,2483358.28125,secondary
10812,112.625,2483381,2483381.25,primary
10813,112.63541666666667,2483611,2483610.9375,secondary
10814,112.64583333333333,2483840,2483840.625,secondary
10815,112.65625,2484070,2484070.3125,secondary
10816,112.66666666666667,2484300,2484300.0,secondary
10817,112.67708333333333,2484529,2484529.6875,secondary
10818,112.696875,2484966,2484966.09375,secondary
10819,112.70729166666668,2485196,2485195.78125,secondary
10820,112.71770833333333,2485425,2485425.46875,secondary
10821,112.728125,2485655,2485655.15625,secondary
10822,112.73854166666668,2485885,2485884.84375,secondary
10823,112.74895833333333,2486115,2486114.53125,secondary
10824,112.75,2486138,2486137.5,primary
10825,112.76041666666667,2486368,2486367.1875,secondary
10826,112.77083333333333,2486597,2486596.875,secondary
10827,112.78125,2486827,2486826.5625,secondary
10828,112.79166666666667,2487057,2487056.25,secondary
10829,112.80208333333333,2487286,2487285.9375,secondary
10830,112.821875,2487722,2487722.34375,secondary
10831,112.83229166666668,2487952,2487952.03125,secondary
10832,112.84270833333333,2488182,2488181.71875,secondary
10833,112.853125,2488411,2488411.40625,secondary
10834,112.86354166666668,2488641,2488641.09375,secondary
10835,112.87395833333333,2488871,2488870.78125,secondary
10836,112.875,2488894,2488893.75,primary
10837,112.88541666666667,2489124,2489123.4375,secondary
10838,112.89583333333333,2489353,2489353.125,secondary
10839,112.90625,2489583,2489582.8125,secondary
10840,112.91666666666667,2489813,2489812.5,secondary
10841,112.92708333333333,2490042,2490042.1875,secondary
10842,112.946875,2490479,2490478.59375,secondary
10843,112.95729166666668,2490708,2490708.28125,secondary
10844,112.96770833333333,2490938,2490937.96875,secondary
10845,112.978125,2491168,2491167.65625,secondary
10846,112.98854166666668,2491397,2491397.34375,secondary
10847,112.99895833333333,2491627,2491627.03125,secondary
10848,113.0,2491650,2491650.0,primary
10849,113.01041666666667,2491880,2491879.6875,secondary
10850,113.02083333333333,2492109,2492109.375,secondary
10851,113.03125,2492339,2492339.0625,secondary
10852,113.04166666666667,2492569,2492568.75,secondary
10853,113.05208333333333,2492798,2492798.4375,secondary
10854,113.071875,2493235,2493234.84375,secondary
10855,113.08229166666668,2493465,2493464.53125,secondary
10856,113.09270833333333,2493694,2493694.21875,secondary
10857,113.103125,2493924,2493923.90625,secondary
10858,113.11354166666668,2494154,2494153.59375,secondary
10859,113.12395833333333,2494383,2494383.28125,secondary
10860,113.125,2494406,2494406.25,primary
10861,113.13541666666667,2494636,2494635.9375,secondary
10862,113.14583333333333,2494865,2494865.625,secondary
10863,113.15625,2495095,2495095.3125,secondary
10864,113.16666666666667,2495325,2495325.0,secondary
10865,113.17708333333333,2495554,2495554.6875,secondary
10866,113.196875,2495991,2495991.09375,secondary
10867,113.20729166666668,2496221,2496220.78125,secondary
10868,113.21770833333333,2496450,2496450.46875,secondary
10869,113.228125,2496680,2496680.15625,secondary
10870,113.23854166666668,2496910,2496909.84375,secondary
10871,113.24895833333333,2497140,2497139.53125,secondary
10872,113.25,2497162,2497162.5,primary
10873,113.26041666666667,2497392,2497392.1875,secondary
10874,113.27083333333333,2497621,2497621.875,secondary
10875,113.28125,2497851,2497851.5625,secondary
10876,113.29166666666667,2498081,2498081.25,secondary
10877,113.30208333333333,2498310,2498310.9375,secondary
10878,113.321875,2498747,2498747.34375,secondary
10879,113.33229166666668,2498977,2498977.03125,secondary
10880,113.34270833333333,2499207,2499206.71875,secondary
10881,113.353125,2499436,2499436.40625,secondary
10882,113.36354166666668,2499666,2499666.09375,secondary
10883,113.37395833333333,2499896,2499895.78125,secondary
10884,113.375,2499919,2499918.75,primary
10885,113.38541666666667,2500149,2500148.4375,secondary
10886,113.39583333333333,2500378,2500378.125,secondary
10887,113.40625,2500608,2500607.8125,secondary
10888,113.41666666666667,2500838,2500837.5,secondary
10889,113.42708333333333,2501067,2501067.1875,secondary
10890,113.446875,2501504,2501503.59375,secondary
10891,113.45729166666668,2501733,2501733.28125,secondary
10892,113.46770833333333,2501963,2501962.96875,secondary
10893,113.478125,2502193,2502192.65625,secondary
10894,113.48854166666668,2502422,2502422.34375,secondary
10895,113.49895833333333,2502652,2502652.03125,secondary
10896,113.5,2502675,2502675.0,primary
10897,113.51041666666667,2502905,2502904.6875,secondary
10898,113.52083333333333,2503134,2503134.375,secondary
10899,113.53125,2503364,2503364.0625,secondary
10900,113.54166666666667,2503594,2503593.75,secondary
10901,113.55208333333333,2503823,2503823.4375,secondary
10902,113.571875,2504260,2504259.84375,secondary
10903,113.58229166666668,2504490,2504489.53125,secondary
10904,113.59270833333333,2504719,2504719.21875,secondary
10905,113.603125,2504949,2504948.90625,secondary
10906,113.61354166666668,2505179,2505178.59375,secondary
10907,113.62395833333333,2505408,2505408.28125,secondary
10908,113.625,2505431,2505431.25,primary
10909,113.63541666666667,2505661,2505660.9375,secondary
10910,113.64583333333333,2505890,2505890.625,secondary
10911,113.65625,2506120,2506120.3125,secondary
10912,113.66666666666667,2506350,2506350.0,secondary
10913,113.67708333333333,2506579,2506579.6875,secondary
10914,113.696875,2507016,2507016.09375,secondary
10915,113.70729166666668,2507246,2507245.78125,secondary
10916,113.71770833333333,2507475,2507475.46875,secondary
10917,113.728125,2507705,2507705.15625,secondary
10918,113.73854166666668,2507935,2507934.84375,secondary
10919,113.74895833333333,2508165,2508164.53125,secondary
10920,113.75,2508188,2508187.5,primary
10921,113.76041666666667,2508418,2508417.1875,secondary
10922,113.77083333333333,2508647,2508646.875,secondary
10923,113.78125,2508877,2508876.5625,secondary
10924,113.79166666666667,2509107,2509106.25,secondary
10925,113.80208333333333,2509336,2509335.9375,secondary
10926,113.821875,2509772,2509772.34375,secondary
10927,113.83229166666668,2510002,2510002.03125,secondary
10928,113.84270833333333,2510232,2510231.71875,secondary
10929,113.853125,2510461,2510461.40625,secondary
10930,113.86354166666668,2510691,2510691.09375,secondary
10931,113.87395833333333,2510921,2510920.78125,secondary
10932,113.875,2510944,2510943.75,primary
10933,113.88541666666667,2511174,2511173.4375,secondary
10934,113.89583333333333,2511403,2511403.125,secondary
10935,113.90625,2511633,2511632.8125,secondary
10936,113.91666666666667,2511863,2511862.5,secondary
10937,113.92708333333333,2512092,2512092.1875,secondary
10938,113.946875,2512529,2512528.59375,secondary
10939,113.95729166666668,2512758,2512758.28125,secondary
10940,113.96770833333333,2512988,2512987.96875,secondary
10941,113.978125,2513218,2513217.65625,secondary
10942,113.98854166666668,2513447,2513447.34375,secondary
10943,113.99895833333333,2513677,2513677.03125,secondary
10944,114.0,2513700,2513700.0,primary
10945,114.01041666666667,2513930,2513929.6875,secondary
10946,114.02083333333333,2514159,2514159.375,secondary
10947,114.03125,2514389,2514389.0625,secondary
10948,114.04166666666667,2514619,2514618.75,secondary
10949,114.05208333333333,2514848,2514848.4375,secondary
10950,114.071875,2515285,2515284.84375,secondary
10951,114.08229166666668,2515515,2515514.53125,secondary
10952,114.09270833333333,2515744,2515744.21875,secondary
10953,114.103125,2515974,2515973.90625,secondary
10954,114.11354166666668,2516204,2516203.59375,secondary
10955,114.12395833333333,2516433,2516433.28125,secondary
10956,114.125,2516456,2516456.25,primary
10957,114.13541666666667,2516686,2516685.9375,secondary
